country,material,month,unit,price,currency,frequency,source_url,is_placeholder,provenance_note,replace_with
SG,cement,2014,tonne,97.93,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2015,tonne,92.97,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2016,tonne,82.95,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2017,tonne,75.91,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2018,tonne,78.08,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2019,tonne,82.68,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2020,tonne,85.85,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2021,tonne,91.75,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2022,tonne,115.14,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2023,tonne,115.58,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2024,tonne,108.92,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,cement,2025,tonne,104.74,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Cement In Bulk (Ordinary Portland Cement)'.",
SG,steel_rebar,2014,tonne,653.9,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2015,tonne,501.4,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2016,tonne,500.52,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2017,tonne,688.83,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2018,tonne,786.43,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2019,tonne,741.87,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
SG,steel_rebar,2020,tonne,725.45,SGD,annual,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M211671,false,"REAL DATA. Construction Material Market Prices, source agency BUILDING AND CONSTRUCTION AUTHORITY (BCA), published via the SingStat Table Builder table M211671. Retrieved 23/02/2026; series 'Steel Reinforcement Bars (16-32mm High Tensile)'.",
