country,kind,series_name,title,month,base_year,base_value,currency,value,scope_sections,source_url,is_placeholder,provenance_note,replace_with
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-01,2024,100.0,SGD,89.81,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-02,2024,100.0,SGD,90.59,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-03,2024,100.0,SGD,91.715,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-04,2024,100.0,SGD,91.594,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-05,2024,100.0,SGD,92.502,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-06,2024,100.0,SGD,93.423,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-07,2024,100.0,SGD,93.563,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-08,2024,100.0,SGD,94.445,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-09,2024,100.0,SGD,94.854,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-10,2024,100.0,SGD,94.475,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
