country,region_code,region_name,is_default,factor,currency,source,source_url,source_date,notes,is_placeholder,provenance_note,replace_with
IN,DEL,Delhi (NCR),true,1.000,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Reference city for the national rate library. Central Public Works Department schedules are priced on Delhi rates.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Delhi (NCR)
IN,MUM,Mumbai,false,1.128,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,"Highest-cost Indian market: land-side haulage, premium labour rates and municipal levies across Maharashtra.",true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Mumbai
IN,BLR,Bengaluru,false,1.022,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Labour rates above the national reference; granite and aggregate cheap and local.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Bengaluru
IN,CHN,Chennai,false,0.994,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,"Near the national reference, marginally below on labour.",true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Chennai
IN,KOL,Kolkata,false,0.958,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Below the reference on labour and haulage.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Kolkata
IN,HYD,Hyderabad,false,0.981,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Slightly below the reference; improving materials logistics.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Hyderabad
IN,PUN,Pune,false,1.034,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,"Above the reference on labour, below Mumbai on materials haulage.",true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Pune
IN,AHM,Ahmedabad,false,0.972,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Below the reference; strong local cement and steel supply base.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Ahmedabad
IN,JAI,Jaipur,false,0.941,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Lowest-cost of the cities seeded here on labour; inland haulage premium on steel.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Jaipur
IN,KOC,Kochi,false,1.016,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Above the reference on haulage into Kerala; labour slightly above.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Kochi
IN,LKO,Lucknow,false,0.948,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Below the reference on labour and materials.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Lucknow
IN,BHO,Bhopal,false,0.963,INR,CPWD Cost Index (city-wise),https://cpwd.gov.in/,2023-12-31,Below the reference; central location keeps haulage low.,true,"INDICATIVE. Published city cost indices exist (CPWD publishes a city-wise cost index; NBO publishes city building cost indices) but no machine-readable feed could be verified from this environment, so the factor is an analyst estimate.",# TODO: replace with the regional factor implied by the actual CPWD Cost Index (city-wise) for Bhopal
SG,SGP,Singapore,true,1.000,SGD,"NBO Building Cost Index (city-wise), MoHUA",https://nbo.gov.in/,2010-12-31,Single-region market. Retained so the regional model is uniform across countries.,true,Reference region. Singapore is treated as a single market so the regional model is uniform across countries.,
