country,sor_code,description,unit,published_unit,rate_2026,currency,section,source
IN,13.52.2,Finishing with Epoxy paint (On concrete work),m2,sqm,245.3,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,13.86,6 mm plaster on cement concrete or reinforced cement concrete work with white cement based polymer modified self curing mortar,m2,sqm,268.91,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.1,Demolishing lime concrete manually/ by mechanical means,m3,cum,867.89,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.2,Demolishing cement concrete manually/ by mechanical means,m3,cum,2481.57,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.2.1,Demolishing cement concrete (Nominal concrete 1:3:6 or richer mix),m3,cum,1532.64,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.2.2,Demolishing cement concrete (Nominal concrete 1:4:8 or leaner mix),m3,cum,3620.29,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.40.1,Dismantling precast concrete or stone slabs (Thickness up to 40 mm),m2,sqm,295.07,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.40.2,Dismantling precast concrete or stone slabs (Thickness above 40 mm up to 75 mm),m2,sqm,442.14,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.55.1,Dismantling of cement concrete platform (120x120cm outside to outside),item,each,1125.31,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.55.2,Dismantling of cement concrete platform (210x120cm outside to outside),item,each,1726,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,15.55.3,Dismantling of cement concrete platform (320x120cm outside to outside),item,each,2443.22,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.23,"Providing and fixing 15cm dia at top, 20cm at bottom and 90cm high precast reinforced cement concrete boundary stone",item,each,274.96,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.24.1,Providing and fixing precast reinforced cement concrete kilometre stone (35x111x25 cm size),item,each,3090.36,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.24.2,Providing and fixing precast reinforced cement concrete kilometre stone (50x152.5x25 cm size),item,each,5621.9,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.24.3,Providing and fixing precast reinforced cement concrete kilometre stone (35x93.5x18 cm size),item,each,2065.33,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.42,Cement concrete 1:2:4 in pavements,m3,cum,9148.62,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.43.1,Providing and laying design mix cement concrete of M-30 grade (prepared with batch mixing machine),m3,cum,11736.94,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.43.2,Providing and laying design mix cement concrete of M-30 grade (manufactured in automatic batching plant),m3,cum,12372.13,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.56.1,"Providing and laying semi-dense Bituminous concrete (25 mm compacted thickness, Batch Type)",m2,sqm,308.37,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.56.2,"Providing and laying semi-dense Bituminous concrete (25 mm compacted thickness, Drum Type)",m2,sqm,305.83,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.1,"Providing and laying Bituminous concrete (40/50 mm compacted thickness, Batch Type, VG-30)",m3,cum,13440.48,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.2,"Providing and laying Bituminous concrete (with waste plastic additive, Batch Type)",m3,cum,14093.45,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.3,"Providing and laying Bituminous concrete (PMB-40, Batch Type)",m3,cum,12325.52,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.4,"Providing and laying Bituminous concrete (CRMB-60, Batch Type)",m3,cum,11511.09,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.5,"Providing and laying Bituminous concrete (40/50 mm compacted thickness, Drum Type, VG-30)",m3,cum,13334.83,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.6,"Providing and laying Bituminous concrete (with waste plastic additive, Drum Type)",m3,cum,13989.27,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.7,"Providing and laying Bituminous concrete (PMB-40, Drum Type)",m3,cum,12220.68,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.57.8,"Providing and laying Bituminous concrete (CRMB-60, Drum Type)",m3,cum,11406.26,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.67,Providing and fixing at or near ground level factory made RCC pavement slab of M-30 grade,m2,sqm,1695.17,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.69,Providing and laying at or near ground level factory made kerb stone of M-25 grade cement concrete,m3,cum,10649.47,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.75,Providing and laying C.C. pavement of mix M-25 with ready mixed concrete,m3,cum,10234.51,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.76,Deduct for using of M-20 grade concrete instead of M-25 grade concrete in C.C. pavement,m3,cum,236.28,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.80,Construction of dry lean cement concrete sub base,m3,cum,5107.01,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,16.93,Providing and placing in position 100mm thick factory made machine batched & machine mixed Precast RCC Rectangular Covers,m2,sqm,3235.84,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.2.1,Providing and laying cement concrete 1:5:10 all-round S.W. pipes (100 mm diameter),m,metre,1107.2,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.2.2,Providing and laying cement concrete 1:5:10 all-round S.W. pipes (150 mm diameter),m,metre,1354.05,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.2.3,Providing and laying cement concrete 1:5:10 all-round S.W. pipes (200 mm diameter),m,metre,1578.51,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.2.4,Providing and laying cement concrete 1:5:10 all-round S.W. pipes (250 mm diameter),m,metre,1825.36,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.3.1,Providing and laying cement concrete 1:5:10 up to haunches of S.W. pipes (100 mm diameter),m,metre,526.22,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.3.2,Providing and laying cement concrete 1:5:10 up to haunches of S.W. pipes (150 mm diameter),m,metre,852.8,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
IN,19.3.3,Providing and laying cement concrete 1:5:10 up to haunches of S.W. pipes (200 mm diameter),m,metre,1002.47,INR,Concrete,CPWD Delhi Schedule of Rates 2021 Vol-II
